"","Date","Value","Index"
"1213",1890-09-01,25.46,"ENSO"
"1362",1890-10-01,25.47,"ENSO"
"1511",1890-11-01,25.58,"ENSO"
"1660",1890-12-01,25.9,"ENSO"
"22",1891-01-01,26.13,"ENSO"
"171",1891-02-01,26.51,"ENSO"
"320",1891-03-01,27.19,"ENSO"
"469",1891-04-01,27.92,"ENSO"
"618",1891-05-01,27.99,"ENSO"
"767",1891-06-01,27.97,"ENSO"
"916",1891-07-01,27.34,"ENSO"
"1065",1891-08-01,26.93,"ENSO"
"1214",1891-09-01,26.67,"ENSO"
"1363",1891-10-01,26.7,"ENSO"
"1512",1891-11-01,26.71,"ENSO"
"1661",1891-12-01,26.6,"ENSO"
"23",1892-01-01,26.08,"ENSO"
"172",1892-02-01,26.42,"ENSO"
"321",1892-03-01,26.68,"ENSO"
"470",1892-04-01,27.12,"ENSO"
"619",1892-05-01,27.14,"ENSO"
"768",1892-06-01,27.12,"ENSO"
"917",1892-07-01,26.6,"ENSO"
"1066",1892-08-01,26.25,"ENSO"
"1215",1892-09-01,25.68,"ENSO"
"1364",1892-10-01,25.19,"ENSO"
"1513",1892-11-01,25.03,"ENSO"
"1662",1892-12-01,25.41,"ENSO"
"24",1893-01-01,25.35,"ENSO"
"173",1893-02-01,25.6,"ENSO"
"322",1893-03-01,26.02,"ENSO"
"471",1893-04-01,26.47,"ENSO"
"620",1893-05-01,26.55,"ENSO"
"769",1893-06-01,26.5,"ENSO"
"918",1893-07-01,25.91,"ENSO"
"1067",1893-08-01,25.58,"ENSO"
"1216",1893-09-01,25.48,"ENSO"
"1365",1893-10-01,25.37,"ENSO"
"1514",1893-11-01,25.35,"ENSO"
"1663",1893-12-01,25.59,"ENSO"
"25",1894-01-01,25.49,"ENSO"
"174",1894-02-01,25.63,"ENSO"
"323",1894-03-01,26.2,"ENSO"
"472",1894-04-01,26.85,"ENSO"
"621",1894-05-01,26.87,"ENSO"
"770",1894-06-01,26.85,"ENSO"
"919",1894-07-01,26.34,"ENSO"
"1068",1894-08-01,26.07,"ENSO"
"1217",1894-09-01,25.65,"ENSO"
"1366",1894-10-01,25.91,"ENSO"
"1515",1894-11-01,25.73,"ENSO"
"1664",1894-12-01,26.11,"ENSO"
"26",1895-01-01,25.85,"ENSO"
"175",1895-02-01,26.28,"ENSO"
"324",1895-03-01,26.86,"ENSO"
"473",1895-04-01,27.6,"ENSO"
"622",1895-05-01,27.83,"ENSO"
"771",1895-06-01,27.47,"ENSO"
"920",1895-07-01,26.96,"ENSO"
"1069",1895-08-01,27.23,"ENSO"
"1218",1895-09-01,27.17,"ENSO"
"1367",1895-10-01,27.05,"ENSO"
"1516",1895-11-01,27.1,"ENSO"
"1665",1895-12-01,27.07,"ENSO"
"27",1896-01-01,26.74,"ENSO"
"176",1896-02-01,26.85,"ENSO"
"325",1896-03-01,27.41,"ENSO"
"474",1896-04-01,27.76,"ENSO"
"623",1896-05-01,27.82,"ENSO"
"772",1896-06-01,27.48,"ENSO"
"921",1896-07-01,27.66,"ENSO"
"1070",1896-08-01,27.92,"ENSO"
"1219",1896-09-01,27.79,"ENSO"
"1368",1896-10-01,27.83,"ENSO"
"1517",1896-11-01,28.16,"ENSO"
"1666",1896-12-01,28.14,"ENSO"
"28",1897-01-01,28.07,"ENSO"
"177",1897-02-01,27.9,"ENSO"
"326",1897-03-01,27.8,"ENSO"
"475",1897-04-01,27.55,"ENSO"
"624",1897-05-01,27.69,"ENSO"
"773",1897-06-01,27.66,"ENSO"
"922",1897-07-01,27.29,"ENSO"
"1071",1897-08-01,26.73,"ENSO"
"1220",1897-09-01,26.51,"ENSO"
"1369",1897-10-01,26.17,"ENSO"
"1518",1897-11-01,26.04,"ENSO"
"1667",1897-12-01,26.19,"ENSO"
"29",1898-01-01,26.07,"ENSO"
"178",1898-02-01,26.19,"ENSO"
"327",1898-03-01,26.47,"ENSO"
"476",1898-04-01,27.16,"ENSO"
"625",1898-05-01,27.28,"ENSO"
"774",1898-06-01,27.4,"ENSO"
"923",1898-07-01,26.59,"ENSO"
"1072",1898-08-01,26.11,"ENSO"
"1221",1898-09-01,26.56,"ENSO"
"1370",1898-10-01,26.4,"ENSO"
"1519",1898-11-01,26,"ENSO"
"1668",1898-12-01,25.8,"ENSO"
"30",1899-01-01,25.83,"ENSO"
"179",1899-02-01,26.05,"ENSO"
"328",1899-03-01,26.69,"ENSO"
"477",1899-04-01,27.43,"ENSO"
"626",1899-05-01,27.9,"ENSO"
"775",1899-06-01,27.78,"ENSO"
"924",1899-07-01,27.2,"ENSO"
"1073",1899-08-01,27.51,"ENSO"
"1222",1899-09-01,27.18,"ENSO"
"1371",1899-10-01,27.66,"ENSO"
"1520",1899-11-01,27.94,"ENSO"
"1669",1899-12-01,28.09,"ENSO"
"31",1900-01-01,27.99,"ENSO"
"180",1900-02-01,28.06,"ENSO"
"329",1900-03-01,28.25,"ENSO"
"478",1900-04-01,28.43,"ENSO"
"627",1900-05-01,28.4,"ENSO"
"776",1900-06-01,28.45,"ENSO"
"925",1900-07-01,27.97,"ENSO"
"1074",1900-08-01,27.65,"ENSO"
"1223",1900-09-01,27.31,"ENSO"
"1372",1900-10-01,27.15,"ENSO"
"1521",1900-11-01,26.79,"ENSO"
"1670",1900-12-01,27.19,"ENSO"
"32",1901-01-01,27.4,"ENSO"
"181",1901-02-01,27.06,"ENSO"
"330",1901-03-01,27.3,"ENSO"
"479",1901-04-01,27.64,"ENSO"
"628",1901-05-01,27.68,"ENSO"
"777",1901-06-01,27.43,"ENSO"
"926",1901-07-01,26.93,"ENSO"
"1075",1901-08-01,26.5,"ENSO"
"1224",1901-09-01,26.45,"ENSO"
"1373",1901-10-01,26.42,"ENSO"
"1522",1901-11-01,26.26,"ENSO"
"1671",1901-12-01,26.24,"ENSO"
"33",1902-01-01,26.08,"ENSO"
"182",1902-02-01,26.5,"ENSO"
"331",1902-03-01,26.99,"ENSO"
"480",1902-04-01,27.97,"ENSO"
"629",1902-05-01,28.34,"ENSO"
"778",1902-06-01,28.45,"ENSO"
"927",1902-07-01,28.67,"ENSO"
"1076",1902-08-01,28.09,"ENSO"
"1225",1902-09-01,28.19,"ENSO"
"1374",1902-10-01,28.13,"ENSO"
"1523",1902-11-01,28.19,"ENSO"
"1672",1902-12-01,27.98,"ENSO"
"34",1903-01-01,27.91,"ENSO"
"183",1903-02-01,27.69,"ENSO"
"332",1903-03-01,28.05,"ENSO"
"481",1903-04-01,28.13,"ENSO"
"630",1903-05-01,27.77,"ENSO"
"779",1903-06-01,27.98,"ENSO"
"928",1903-07-01,26.74,"ENSO"
"1077",1903-08-01,26.55,"ENSO"
"1226",1903-09-01,26.15,"ENSO"
"1375",1903-10-01,26.31,"ENSO"
"1524",1903-11-01,25.89,"ENSO"
"1673",1903-12-01,25.57,"ENSO"
"35",1904-01-01,25.84,"ENSO"
"184",1904-02-01,25.97,"ENSO"
"333",1904-03-01,26.4,"ENSO"
"482",1904-04-01,27.05,"ENSO"
"631",1904-05-01,27.47,"ENSO"
"780",1904-06-01,27.83,"ENSO"
"929",1904-07-01,27.98,"ENSO"
"1078",1904-08-01,27.42,"ENSO"
"1227",1904-09-01,26.76,"ENSO"
"1376",1904-10-01,27.65,"ENSO"
"1525",1904-11-01,26.81,"ENSO"
"1674",1904-12-01,27.44,"ENSO"
"36",1905-01-01,27.26,"ENSO"
"185",1905-02-01,27.48,"ENSO"
"334",1905-03-01,28.18,"ENSO"
"483",1905-04-01,28.06,"ENSO"
"632",1905-05-01,28.94,"ENSO"
"781",1905-06-01,28.28,"ENSO"
"930",1905-07-01,28.05,"ENSO"
"1079",1905-08-01,27.92,"ENSO"
"1228",1905-09-01,28.18,"ENSO"
"1377",1905-10-01,27.85,"ENSO"
"1526",1905-11-01,27.48,"ENSO"
"1675",1905-12-01,27.76,"ENSO"
"37",1906-01-01,27.47,"ENSO"
"186",1906-02-01,27.44,"ENSO"
"335",1906-03-01,28.06,"ENSO"
"484",1906-04-01,28.22,"ENSO"
"633",1906-05-01,27.88,"ENSO"
"782",1906-06-01,27.83,"ENSO"
"931",1906-07-01,26.73,"ENSO"
"1080",1906-08-01,26.51,"ENSO"
"1229",1906-09-01,25.94,"ENSO"
"1378",1906-10-01,25.87,"ENSO"
"1527",1906-11-01,26.33,"ENSO"
"1676",1906-12-01,26.07,"ENSO"
"38",1907-01-01,26.01,"ENSO"
"187",1907-02-01,26.36,"ENSO"
"336",1907-03-01,26.83,"ENSO"
"485",1907-04-01,27.21,"ENSO"
"634",1907-05-01,27.39,"ENSO"
"783",1907-06-01,27.28,"ENSO"
"932",1907-07-01,26.68,"ENSO"
"1081",1907-08-01,26.22,"ENSO"
"1230",1907-09-01,26.88,"ENSO"
"1379",1907-10-01,26.48,"ENSO"
"1528",1907-11-01,26.4,"ENSO"
"1677",1907-12-01,26.49,"ENSO"
"39",1908-01-01,26.3,"ENSO"
"188",1908-02-01,26.83,"ENSO"
"337",1908-03-01,26.63,"ENSO"
"486",1908-04-01,27.22,"ENSO"
"635",1908-05-01,27.41,"ENSO"
"784",1908-06-01,27.47,"ENSO"
"933",1908-07-01,26.59,"ENSO"
"1082",1908-08-01,26.48,"ENSO"
"1231",1908-09-01,26.23,"ENSO"
"1380",1908-10-01,26.23,"ENSO"
"1529",1908-11-01,25.78,"ENSO"
"1678",1908-12-01,25.43,"ENSO"
"40",1909-01-01,26.29,"ENSO"
"189",1909-02-01,25.88,"ENSO"
