"","Date","Value","Index"
"956",1896-07-01,2.3,"NAO"
"1110",1896-08-01,0,"NAO"
"1264",1896-09-01,-0.1,"NAO"
"1418",1896-10-01,-2.5,"NAO"
"1572",1896-11-01,-0.9,"NAO"
"1726",1896-12-01,1.8,"NAO"
"33",1897-01-01,-1.5,"NAO"
"187",1897-02-01,1.1,"NAO"
"341",1897-03-01,1,"NAO"
"495",1897-04-01,3.6,"NAO"
"649",1897-05-01,0.1,"NAO"
"803",1897-06-01,-2.6,"NAO"
"957",1897-07-01,-1,"NAO"
"1111",1897-08-01,1.4,"NAO"
"1265",1897-09-01,1,"NAO"
"1419",1897-10-01,-2.1,"NAO"
"1573",1897-11-01,-0.5,"NAO"
"1727",1897-12-01,0.6,"NAO"
"34",1898-01-01,1.2,"NAO"
"188",1898-02-01,1.2,"NAO"
"342",1898-03-01,-0.5,"NAO"
"496",1898-04-01,2.2,"NAO"
"650",1898-05-01,-1.1,"NAO"
"804",1898-06-01,-1.5,"NAO"
"958",1898-07-01,-1.5,"NAO"
"1112",1898-08-01,1.1,"NAO"
"1266",1898-09-01,-0.8,"NAO"
"1420",1898-10-01,-0.9,"NAO"
"1574",1898-11-01,0.9,"NAO"
"1728",1898-12-01,0.6,"NAO"
"35",1899-01-01,-1.3,"NAO"
"189",1899-02-01,-1.6,"NAO"
"343",1899-03-01,-2.1,"NAO"
"497",1899-04-01,-0.3,"NAO"
"651",1899-05-01,-1.4,"NAO"
"805",1899-06-01,1.4,"NAO"
"959",1899-07-01,2,"NAO"
"1113",1899-08-01,-2.6,"NAO"
"1267",1899-09-01,1.4,"NAO"
"1421",1899-10-01,-2,"NAO"
"1575",1899-11-01,0.6,"NAO"
"1729",1899-12-01,-0.9,"NAO"
"36",1900-01-01,1.8,"NAO"
"190",1900-02-01,-3.1,"NAO"
"344",1900-03-01,-2.1,"NAO"
"498",1900-04-01,0.8,"NAO"
"652",1900-05-01,0.7,"NAO"
"806",1900-06-01,-0.7,"NAO"
"960",1900-07-01,-1,"NAO"
"1114",1900-08-01,0.5,"NAO"
"1268",1900-09-01,2.3,"NAO"
"1422",1900-10-01,-0.3,"NAO"
"1576",1900-11-01,2.2,"NAO"
"1730",1900-12-01,1.2,"NAO"
"37",1901-01-01,0,"NAO"
"191",1901-02-01,-2.9,"NAO"
"345",1901-03-01,-0.6,"NAO"
"499",1901-04-01,1.3,"NAO"
"653",1901-05-01,-1.7,"NAO"
"807",1901-06-01,1.6,"NAO"
"961",1901-07-01,1.2,"NAO"
"1115",1901-08-01,1,"NAO"
"1269",1901-09-01,1.2,"NAO"
"1423",1901-10-01,2,"NAO"
"1577",1901-11-01,-2.4,"NAO"
"1731",1901-12-01,0.1,"NAO"
"38",1902-01-01,-0.3,"NAO"
"192",1902-02-01,-2.8,"NAO"
"346",1902-03-01,0.7,"NAO"
"500",1902-04-01,-1.9,"NAO"
"654",1902-05-01,0.9,"NAO"
"808",1902-06-01,-4,"NAO"
"962",1902-07-01,-2.4,"NAO"
"1116",1902-08-01,-1.6,"NAO"
"1270",1902-09-01,-2.2,"NAO"
"1424",1902-10-01,0.5,"NAO"
"1578",1902-11-01,0,"NAO"
"1732",1902-12-01,0.6,"NAO"
"39",1903-01-01,0.1,"NAO"
"193",1903-02-01,1.8,"NAO"
"347",1903-03-01,3.6,"NAO"
