year,idx,precipitation,maxtemp,mintemp,windspeed
1968,11,204.65,13.01,2.11,1.63
1968,12,366.35,7.17,-1.95,2.65
1969,1,636.43,7.76,-1.26,3.11
1969,2,402.95,7.00,-0.91,2.78
1969,3,38.97,14.66,0.13,2.05
1969,4,139.02,17.58,2.47,1.88
1969,5,0.05,25.62,7.48,1.78
1969,6,28.48,25.34,10.06,2.36
1969,7,2.62,32.50,12.73,2.07
1969,8,0.00,33.36,10.98,1.64
1969,9,0.00,29.41,10.35,1.44
1969,10,107.57,20.06,4.36,2.13
1969,11,101.62,17.11,2.22,2.21
1969,12,544.08,11.10,1.13,2.34
1970,1,764.32,9.61,1.83,2.58
1970,2,193.45,14.81,1.60,1.80
1970,3,62.47,16.03,1.36,1.87
1970,4,26.50,16.71,0.34,2.35
1970,5,5.57,24.79,7.47,2.26
1970,6,54.38,28.22,10.73,2.17
1970,7,0.62,32.83,13.44,2.05
1970,8,0.00,31.95,11.73,1.82
1970,9,0.93,28.84,9.20,1.85
1970,10,101.42,21.59,5.15,1.74
1970,11,441.00,13.41,3.25,2.29
1970,12,443.27,6.95,-1.07,2.56
1971,1,112.85,10.86,-1.63,2.33
1971,2,9.77,13.40,-1.64,1.95
1971,3,228.18,13.25,-0.26,1.88
1971,4,41.40,17.18,1.40,2.30
1971,5,36.35,20.01,4.94,2.28
1971,6,33.73,25.90,8.68,2.50
1971,7,0.00,31.93,13.97,2.39
1971,8,2.60,32.46,14.26,2.06
1971,9,23.00,28.05,10.70,1.77
1971,10,12.10,20.70,4.69,1.72
1971,11,115.47,13.87,1.74,1.92
1971,12,219.80,6.38,-2.61,2.66
1972,1,144.47,9.73,-1.64,2.44
1972,2,117.07,11.70,1.22,1.72
1972,3,60.50,17.46,3.99,1.46
1972,4,135.57,17.21,3.24,2.36
1972,5,44.53,23.71,7.53,1.92
1972,6,36.95,28.81,11.18,2.07
1972,7,0.00,32.23,13.66,2.12
1972,8,3.60,31.50,13.44,1.97
1972,9,28.65,25.80,9.35,1.50
1972,10,138.82,19.38,6.85,1.72
1972,11,299.38,11.50,1.90,2.17
1972,12,159.55,7.12,-2.72,2.36
1973,1,521.62,7.65,-1.28,2.65
1973,2,364.92,11.25,2.13,2.89
1973,3,190.60,11.49,0.36,2.24
1973,4,11.50,19.73,4.27,2.14
1973,5,12.18,25.70,9.70,1.83
1973,6,0.12,29.61,12.00,2.18
1973,7,10.52,32.46,13.86,2.57
1973,8,0.00,30.85,12.53,2.23
1973,9,20.10,25.42,10.16,1.95
1973,10,198.30,19.59,6.87,1.82
1973,11,762.08,9.10,2.67,2.83
1973,12,236.10,9.77,1.62,2.22
1974,1,336.85,8.65,-0.20,2.39
1974,2,178.70,11.51,0.13,2.19
1974,3,500.12,12.61,2.92,2.22
1974,4,78.93,16.29,2.54,2.22
1974,5,7.95,23.04,6.72,2.23
1974,6,9.58,28.45,10.94,2.31
1974,7,56.17,29.72,12.96,2.50
1974,8,0.03,31.23,12.97,2.10
1974,9,0.00,31.13,11.59,1.35
1974,10,85.95,23.86,7.92,1.67
1974,11,69.90,14.06,2.47,1.85
1974,12,192.53,9.37,-0.32,2.10
1975,1,119.18,11.46,-0.59,2.55
1975,2,329.65,9.61,0.38,2.76
1975,3,383.70,10.91,1.10,2.74
1975,4,122.75,13.05,0.99,2.26
1975,5,4.12,23.80,7.23,2.21
1975,6,12.42,27.95,10.82,2.53
1975,7,13.18,29.97,12.39,2.50
1975,8,25.73,29.06,11.91,2.09
1975,9,1.17,29.95,12.19,1.14
1975,10,167.30,18.72,5.42,1.80
1975,11,72.23,13.22,1.46,2.14
1975,12,92.60,12.88,0.92,2.23
1976,1,25.25,12.83,-0.37,1.84
1976,2,152.45,11.76,1.05,2.08
1976,3,56.05,14.37,0.15,1.80
1976,4,104.75,15.42,2.02,2.10
1976,5,0.38,25.42,8.19,2.20
1976,6,2.97,27.20,10.08,2.39
1976,7,3.40,31.77,13.74,2.45
1976,8,49.50,26.78,10.48,1.95
1976,9,20.88,27.10,10.47,1.33
1976,10,2.83,23.86,6.92,1.34
1976,11,46.25,18.92,4.24,1.60
1976,12,52.05,14.59,-0.54,2.36
1977,1,115.35,11.42,-1.24,2.19
1977,2,60.00,16.02,1.29,1.93
1977,3,90.75,12.93,-0.66,1.94
1977,4,31.65,21.47,5.04,1.99
